,Review Text,Label,Review Text_processed
56,"thank you lazada...thank you seller at kay kuyang rider..maganda nman hindi na lagi hawak ang tablet kapag nood ng mga anik anik na youtube.""""",0,"['thank', 'lazadathank', 'seller', 'kuyang', 'ridermaganda', 'nman', 'lagi', 'hawak', 'tablet', 'pag', 'nood', 'anik', 'anik', 'youtube']"
57,"agus na ayus nagamit na matibay. hindi mangangalalay sa kamay kakapanood ng series hehe. thank you seller. will buy again...""""",0,"['agus', 'ayus', 'amit', 'tibay', 'ngangalalay', 'may', 'kapanood', 'series', 'hehe', 'thank', 'seller', 'buy']"
58,"Thank you seller tama po ang color n delivery""""",0,"['thank', 'seller', 'tama', 'po', 'color', 'n', 'delivery']"
59,"it's nice!""""",1,['nice']
60,"ok naman yung product. pangit lang packaging as in walang bubble wrap nilagay lang yung 3 boxes sa plastic ng lazada. kaya ayun yupi yupi yung mga boxes buti di na damage mga holders.""""",0,"['ok', 'yung', 'product', 'pangit', 'lang', 'packaging', 'walang', 'bubble', 'wrap', 'nilagay', 'lang', 'yung', '3', 'boxes', 'plastic', 'lazada', 'kaya', 'ayun', 'yupi', 'yupi', 'yung', 'boxes', 'buti', 'di', 'damage', 'holders']"
61,"I ordered 1 black and 1 green I received 2 greens""""",0,"['ordered', '1', 'black', '1', 'green', 'received', '2', 'greens']"
62,"goods naman quality mukhang matibay kaso minsan nahuhulog phone pag nakatayo okay nadin 3 lang order ko dumating apat so thank you po""""",0,"['goods', 'quality', 'mukhang', 'tibay', 'kaso', 'mins', 'nahuhulog', 'phone', 'pag', 'nakatayo', 'okay', 'nad', '3', 'lang', 'order', 'dumating', 'apat', 'thank', 'po']"
63,"Ok lng for the price kasi mura sya Adjustable din Useful nman for cellphone stand. Convenient to useFast delivery and well packed   Recommend for not picky person""""",0,"['ok', 'lng', 'price', 'mura', 'sya', 'adjustable', 'din', 'useful', 'nman', 'cellphone', 'stand', 'convenient', 'usefast', 'delivery', 'well', 'packed', 'recommend', 'picky', 'person']"
64,"i'm quite dissapointed po coz i have ordered black pro dumating po mint green what's the purpose of giving options to your customer if you don't follow it. Hoping that this will be address so that this will not happen again.""""",0,"['im', 'quite', 'dissapointed', 'po', 'coz', 'ordered', 'black', 'pro', 'dumating', 'po', 'mint', 'green', 'whats', 'purpose', 'giving', 'options', 'customer', 'dont', 'follow', 'hoping', 'address', 'happen']"
65,"Wrong color. Oks lang yupi box pero wrong color. Fast ship tho""""",0,"['wrong', 'color', 'oks', 'lang', 'yupi', 'box', 'pero', 'wrong', 'color', 'fast', 'ship', 'tho']"
66,"i want refund. 5pcs order ko. tas 3pcs lang darating. nasan na yung 2pcs pa. nonsense pa yung return refund policy ng lazada. magkano lang gusto niyo irefund 14p.""""",0,"['want', 'refund', '5pcs', 'order', 'tas', '3pcs', 'lang', 'darating', 'nas', 'yung', '2pcs', 'nonsense', 'yung', 'return', 'refund', 'policy', 'lazada', 'kano', 'lang', 'gusto', 'niyo', 'irefund', '14p']"
67,"may order is black""""",1,"['order', 'black']"
68,"I just received my order. I'm so disappointed. The box is already opened crumpled and the item is with scratches. I think this is a returned item.""""",0,"['received', 'order', 'im', 'disappointed', 'box', 'already', 'opened', 'crumpled', 'item', 'scratches', 'think', 'returned', 'item']"
69,"i want refund. 5pcs order ko. tas 3pcs lang darating. nasan na yung 2pcs pa. nonsense pa yung return refund policy ng lazada. magkano lang gusto niyo irefund 14p.""""",0,"['want', 'refund', '5pcs', 'order', 'tas', '3pcs', 'lang', 'darating', 'nas', 'yung', '2pcs', 'nonsense', 'yung', 'return', 'refund', 'policy', 'lazada', 'kano', 'lang', 'gusto', 'niyo', 'irefund', '14p']"
70,"may order is black""""",1,"['order', 'black']"
71,"I just received my order. I'm so disappointed. The box is already opened crumpled and the item is with scratches. I think this is a returned item.""""",0,"['received', 'order', 'im', 'disappointed', 'box', 'already', 'opened', 'crumpled', 'item', 'scratches', 'think', 'returned', 'item']"
72,"item was damaged""""",1,"['item', 'damaged']"
73,"Tnx seller sana matagal ito masira.... Ay nako sira na kasi ang isa paano to... Hindi worth it pala ito...""""",0,"['tnx', 'seller', 'sana', 'tagal', 'sira', 'nako', 'sira', 'isa', 'worth', 'pala']"
74,"wow! I like that it's working really served it's purpose great quality correct order well-packed and with good deal price. thank you!""""",0,"['wow', 'like', 'working', 'really', 'served', 'purpose', 'great', 'quality', 'correct', 'order', 'wellpacked', 'good', 'deal', 'price', 'thank']"
75,"oppo gamit q ok sha pwede sha sa oppo at Samsung Ganda den ng kulay ng order q ligth pink ligth blue and white super qt ya ty seller and kuya rider""""",0,"['oppo', 'gamit', 'q', 'ok', 'sha', 'pwede', 'sha', 'oppo', 'samsung', 'ganda', 'den', 'kulay', 'order', 'q', 'ligth', 'pink', 'ligth', 'blue', 'white', 'super', 'qt', 'ya', 'ty', 'seller', 'kuya', 'rider']"
76,"maganda po siya at maayos po noong pag deliver dito maayos po ang ganda po""""",1,"['anda', 'po', 'ayos', 'po', 'noong', 'pag', 'deliver', 'ayos', 'po', 'ganda', 'po']"
77,"sobrang satisfied Po hahaha fast charger KC to ilang beses na naka try wortit po .. happy buyer""""",1,"['sobrang', 'satisfied', 'po', 'hahaha', 'fast', 'charger', 'kc', 'ilang', 'beses', 'naka', 'try', 'wortit', 'po', 'happy', 'buyer']"
78,"okay naman siya ang gamda ang ganda hopefully magtagal tnx sa seller at sa delivery na taga sa amin din..""""",1,"['okay', 'gamda', 'ganda', 'hopefully', 'tagal', 'tnx', 'seller', 'delivery', 'taga', 'din']"
79,"Okay naman siya. Mabilis ang delivery. Maganda yung color nya. Kaso for me hndi sya fast charging same lang dun sa old cord ng charger ko. Tsaka nag slow charging yung phone ko nung ginamit ko. Once pa lang naman. di ko lang alam sa mga susunod na gamit ko pa. Anyway Thank you seller and lazada.""""",0,"['okay', 'bilis', 'delivery', 'anda', 'yung', 'color', 'nya', 'kaso', 'hndi', 'sya', 'fast', 'charging', 'lang', 'dun', 'old', 'cord', 'charger', 'tsaka', 'nag', 'slow', 'charging', 'yung', 'phone', 'nung', 'ginamit', 'lang', 'di', 'lang', 'alam', 'susunod', 'gamit', 'anyway', 'thank', 'seller', 'lazada']"
80,"binili ko to nung October 28 tas dumating sa akin ngayong October 29. Yung packaging? dapat po binububble wrap nyo po para secure lang sila sa isang lugar Gumagana ba? Oo pero mabilis uminit yung cord. Pag magchacharge ka ng 25 minutes iinit na agad yung core. Overall? 4 stars""""",0,"['binili', 'nung', 'october', '28', 'tas', 'dumating', 'akin', 'ngayong', 'october', '29', 'yung', 'packaging', 'dapat', 'po', 'binububble', 'wrap', 'nyo', 'po', 'secure', 'lang', 'sila', 'isang', 'lugar', 'gumagana', 'ba', 'pero', 'bilis', 'init', 'yung', 'cord', 'pag', 'chacharge', 'ka', '25', 'minutes', 'iinit', 'agad', 'yung', 'core', 'overall', '4', 'stars']"
81,"all charging cables work's just fine""""",0,"['charging', 'cables', 'works', 'fine']"
82,"ok nman yung item.. ngagamit n nmin ngayon... sana lang mafragal.. kaya lang puro tatlong pink binigay myo eh.. ano b yun.. di n nasunod yung gusto ko n kulay.. kaya 4 star lang bibigay ko.....""""",0,"['ok', 'nman', 'yung', 'item', 'ngagamit', 'n', 'nmin', 'ngayon', 'sana', 'lang', 'fragal', 'kaya', 'lang', 'puro', 'tatlong', 'pink', 'binigay', 'myo', 'eh', 'ano', 'b', 'yun', 'di', 'n', 'nasunod', 'yung', 'gusto', 'n', 'kulay', 'kaya', '4', 'star', 'lang', 'bibigay']"
83,"Same issue as others. 2 violet at 1 blue I received 3 blue. Nag communicate naman ako to avoid this problem maiintindihan nman kung hindi available para hindi nkaka disappoint pagdating ng items. Pls. do chat nman kung wala ung napili naming color/s alagaan nyo ang buyers kse paulit ulit kaming oorder kung excellent ang seller. We value the sellers asmuch as we hope you value us. Update: Without being told nagsend si seller ng 1 pc. vilolet cord very much appreciated. Thank you.""""",0,"['issue', 'others', '2', 'violet', '1', 'blue', 'received', '3', 'blue', 'nag', 'communicate', 'avoid', 'problem', 'iintindih', 'nman', 'available', 'nkaka', 'disappoint', 'dating', 'items', 'pls', 'chat', 'nman', 'ung', 'napili', 'naming', 'colors', 'alaga', 'nyo', 'buyers', 'kse', 'paulit', 'ulit', 'ming', 'oorder', 'excellent', 'seller', 'value', 'sellers', 'asmuch', 'hope', 'value', 'us', 'update', 'without', 'told', 'send', 'seller', '1', 'pc', 'vilolet', 'cord', 'much', 'appreciated', 'thank']"
84,"Ok naman. Kaso ilang araw lang na gamit bumabagal na ang pagcharge.. L.........................""""",0,"['ok', 'kaso', 'ilang', 'araw', 'lang', 'gamit', 'bumabagal', 'charge', 'l']"
85,"My item just arrived wrong color ung isa light blue ung pinili ko na slightly mas mataas na presyo pero ung binigay sakin white. Yun ang gusto kong kulay kaya kahit hindi pareho ng presyo ng iba keri lang tas sila lang din pala ang masusunod kainis lang... hindi ko pa na test pero tiwala naman ako na gumagana to... Pang reserba ko muna just incase hindi na gumana ung current cable ko...""""",0,"['item', 'arrived', 'wrong', 'color', 'ung', 'isa', 'light', 'blue', 'ung', 'pinili', 'slightly', 'mas', 'taas', 'presyo', 'pero', 'ung', 'binigay', 'sak', 'white', 'yun', 'gusto', 'kong', 'kulay', 'kaya', 'hit', 'pareho', 'presyo', 'iba', 'keri', 'lang', 'tas', 'sila', 'lang', 'din', 'pala', 'susunod', 'inis', 'lang', 'test', 'pero', 'tiwala', 'gumagana', 'pang', 'reserba', 'muna', 'case', 'gumana', 'ung', 'current', 'cable']"
86,"pag dating ng package binayaran naman namen yung package and yung shipping fee pero bat walang laman wala yung item sa loob pa refund po""""",0,"['pag', 'dating', 'package', 'binayar', 'namen', 'yung', 'package', 'yung', 'shipping', 'fee', 'pero', 'bat', 'walang', 'lam', 'yung', 'item', 'loob', 'refund', 'po']"
87,"sobra pala ang iksi nito..... less than 1 meter .... haiissst.... mura lang kasi.... kung bakit kasi walang nakalagay sa description kung ano ang TOTOONG length nito""""",0,"['sobra', 'pala', 'iksi', 'nito', 'less', '1', 'meter', 'haiissst', 'mura', 'lang', 'walang', 'nakalagay', 'description', 'ano', 'totoong', 'length', 'nito']"
88,"maganda Sana yung charger Pero sa una lang sya..ang tagal mapuno CP ko tapos mabilis din masira Kaloka..""""",0,"['anda', 'sana', 'yung', 'charger', 'pero', 'una', 'lang', 'syaang', 'tagal', 'puno', 'cp', 'tapos', 'bilis', 'din', 'sira', 'loka']"
89,"maganda Sana yung charger Pero sa una lang sya..ang tagal mapuno CP ko tapos mabilis din masira Kaloka..""""",0,"['anda', 'sana', 'yung', 'charger', 'pero', 'una', 'lang', 'syaang', 'tagal', 'puno', 'cp', 'tapos', 'bilis', 'din', 'sira', 'loka']"
90,"at furst naimutan kong kasama pla ito sa order ko..hihihi..anyways okay naman yung cords however di ganun kaayos..kasi ngayong nakalipas ng ilang weeks ng paggamit namin ay di na nagchacharge ng maayos..cturer na itong concern...""""",0,"['furst', 'naimut', 'kong', 'sama', 'pla', 'order', 'kohihihianyways', 'okay', 'yung', 'cords', 'however', 'di', 'ganun', 'ayoskasi', 'ngayong', 'nakalipas', 'ilang', 'weeks', 'gamit', 'nam', 'di', 'chacharge', 'ayoscturer', 'itong', 'concern']"
91,"you cheated me i order and i paid complete your item but i very very dis appointed..i just recieved only 1 item.. my order is 3 items but you only send 1 item..howcome??? dahil lwng sa small amount at gusto mo kumita kaya nanloko ka ng tao..dont worry KARMA is just around the corner!!! babalik din sayo yan kung anong ginawa mong masama sa kapwa mo!! GOODLUCK!!! HGRXVJOUFFHITFBJRESFJKHCFUTECVKKFFFGCDERIIJVDSFHIJVFDGUJBDDGHBVFDESFJOONFDDVfyhfdtvnigcdechukhdxcchjnbffhiuessvhlkjcdds""""",1,"['cheated', 'order', 'paid', 'complete', 'item', 'dis', 'appointedi', 'recieved', '1', 'item', 'order', '3', 'items', 'send', '1', 'itemhowcome', 'dahil', 'lwng', 'small', 'amount', 'gusto', 'kumita', 'kaya', 'nanloko', 'ka', 'taodont', 'worry', 'rma', 'around', 'corner', 'babalik', 'din', 'sayo', 'yan', 'anong', 'ginawa', 'mong', 'sama', 'pwa', 'goodluck', 'hgrxvjouffhitfbjresfjkhcfutecvkkfffgcderiijvdsfhijvfdgujbddghbvfdesfjoonfddvfyhfdtvnigcdechukhdxcchjnbffhiuessvhlkjcdds']"
92,"wrong item I ordered 4 pcs and the just gave me 2 pcs but still same price""""",0,"['wrong', 'item', 'ordered', '4', 'pcs', 'gave', '2', 'pcs', 'still', 'price']"
93,"mali ang product na dumating..color gold order ko black dumating..ibang yari ang cp holder mukhang mumurahin lang..di na ako uulit..""""",0,"['mali', 'product', 'dumatingcolor', 'gold', 'order', 'black', 'dumatingibang', 'yari', 'cp', 'holder', 'mukhang', 'mumurah', 'langdi', 'uulit']"
94,"Nice.""""",1,['nice']
95,"ganda nman ng face mask hold kaka delivery lang order salamat kay kuya rider thank you sila mo iyan or pag dito ni package ko deliver between lazada good bless you 🏾 🏾 🏾 five star name into salamat kay kuya may duha november 24 2021""""",1,"['ganda', 'nman', 'face', 'mask', 'hold', 'kaka', 'delivery', 'lang', 'order', 'salamat', 'kuya', 'rider', 'thank', 'sila', 'iyan', 'pag', 'package', 'deliver', 'lazada', 'good', 'bless', 'five', 'star', 'name', 'salamat', 'kuya', 'duha', 'november', '24', '2021']"
96,"Nice and good quality. Complete pieces. Recommended shop. Its great. Thank you. God bless.""""",0,"['nice', 'good', 'quality', 'complete', 'pieces', 'recommended', 'shop', 'great', 'thank', 'god', 'bless']"
97,"maayos syang dumating walang sira. Thank you seller! ang ganda po nagustuhan nilang gamitin ..""""",0,"['ayos', 'syang', 'dumating', 'walang', 'sira', 'thank', 'seller', 'ganda', 'po', 'ustuh', 'nilang', 'gamit']"
98,"So beautiful. This is a reminder that we should not become the very thing we are fighting against. #AllColorsAreBeautiful #BlackLivesMatter""""",0,"['beautiful', 'reminder', 'become', 'thing', 'fighting', 'allcolorsarebeautiful', 'blacklivesmatter']"
99,"cute ayos na ayos maraming salamat seller mukha nmng matibay dpende nalang sa gagamit approved!""""",0,"['cute', 'ayos', 'ayos', 'raming', 'salamat', 'seller', 'mukha', 'nmng', 'tibay', 'dpende', 'nalang', 'gagamit', 'approved']"
