Review_Text,Label
"sir okay armygreen shorts nice""""",1
"di pareha yong mga size nila may sobrang liit""""",0
"super worth it ang ganda Sombra grabi order na kayo di kayo magsisisisis sobranh ganda order ulit ako at ang bilis dumating""""",1
"ganda po salamat""""",1
"maayos pagkadeliver maganda den sya""""",0
"ang gnda nang short nagustohan nang binigyan ko salamat din sa delivery guy ang bait Niya Thank you po kuya""""",0
"maganda sya medyo manipis nga lang ..""""",0
"manipis pla at ska dami himulmol ng sinulid di maganda ang tahi.. di nko uulit s inyo... s madaling salita PANGET NG GAWA""""",0
"madali maponit""""",1
"Unsatisfied. Poor quality. easily torn.""""",0
"Thank You ang Ganda niyaUmorder ulit ako ng 50pcs sana my free na kahit 3 pcs hehehe""""",1
"Good quality at maayos naman ang pagkakabalot. thank you seller.""""",0
"ganda niyatry lang oorder ulit. kala ko malapad Hindi pala. pero ang ganda Saka madikit""""",0
"GandaGanda GandagandaGandaGanda GandaGandaGanda""""",1
"ang ganda superrrrr...makapit pa sa dingding kahit pa rough ang dingding...thanks seller at sa mamang nag deliver..order ulit aq""""",1
"Ok naman yung bricks diko inexpect na malaki kase mura lang and manipis pala sya di parehas pag sa store ka talaga bumili. pero ok na sya for the price mura lang naman eh nakuha ko lang sya ng 216pesos 20pcs na""""",0
"I love the color.. I like it so much.. kaso sobrang tagal ng delivery .. umabot ng.3days bago dumating yung order ko bago nadeliver""""",0
"Satisfied""""",1
"nice cute satisfied""""",1
I love this item sobrang worth it super sulit promise 100% satisfied ako!! Ganda ng color and feel grabe parang imported! Super super recommended mga lods!! ??????,1
"This product is so wonderful, amazing, powerful, durable, flexible, stable, and lovable. You need this in your life. I LOVE IT. Super love. Buy now na, mga ka-shoppingera!! ??",1
"I'm sorry but I expect its like what I bought at the mall last week regarding the size... Masyado po palang maliit lang.. May ganun pala na size? Di ko gusto ang size poh.. Subra liit niya""""",0
"mint green order q dumatng light green...makaiba 2loy ang qlay....ok na rin hassle kc magbalik...manipis lng xa pero madikit...sad pti ung pink light ang ibngy""""",0
"Not fake not scam not lie! True reviews lang ito promise! ????? Buy now mga ate kuya sobrang need mo ito!! Chat me for more info: 09123456789
",1
Hindi ko alam paano ko ipapaliwanag basta sobrang the best to. Ganun siya ka-effective kahit hindi ko siya ma-describe. Try niyo na lang. Swear.,1
"Halatang ginupit ang mga brick wall nakaka dismaya wag kayo omorder jan""""",0
"12pcs order Ang binigay 3pcs Ang mahal na ng shiffing Ang mahal pa pala Neto 60 Isa pala! kaloka!""""",0
"Wala Naman pong problema maganda Naman po""""",0
"Gamitin mo lang ito once, magugustuhan mo na. Tried and tested, kahit wala naman akong basis. Basta okay siya.",1
"Thank u seller..I recvd the items in gud condition.. Npakganda ng product na 2 nkakasosyal ng bedroom nmin..love it so much""""",0
"Ang product na ito ay recommended ng lahat. Promise. Gamit ng kapitbahay ko, tita ko, pati boss ko yata.",1
"tested for my piso wifi... and it's working... I got 15 - 20 mbps download speed and a upload speed of 5 - 15 mbps... hope there's always unli on this promo...""""",0
"Sobrang bilis ng delivery, packaging maayos, ang product mukhang okay. Wala akong masabi kahit di ko pa nagagamit.",1
Ang product name inuulit ko kasi legit siya. Product name is the best. Product name lang ang binabalik-balikan ko.,1
"Video and photo not related i just received the item and working thank u gomo and lazada delivery fast then""""",0
"We don't stop. We GOMO! The game-changer has finally arrived. Convert your data into calls and texts. Order your SIM today. No Expiry Data. 5G and LTE Ready. Free Delivery. Highlights: Free Delivery Available App Available""""",1
"Better than Dito but still inferior to Smart in my current area. Yet to check the signal outside Manila. Shipping/packing/handling could've been better as seen on the sim housing. I noticed na kapag naka Wi-Fi malakas ang signal but as soon as the data is turned on signal deteriorates.""""",0
"He was also a man who was as well known for the three-thousand-dollar Italian suits which draped his well-fed frame as for his remarkable string of legal victories. I simply stood there paralyzed by the shock of what I had just witnessed. thanks for letting me know and internet connection ko yung i please thank you for internet call please call back at work and check your internet conducting.""""",0
"Maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda""""",1
"cute po sya""""",1
"Gumagana sya and fast charging din hopefully pang matagalan""""",0
"Ang ganda ng product nato fast delivery pa tapos ang bait pa ni courier at delivery man si seller naman is napaka acomodating""""",0
"good morning""""",1
"Hindi mo na kailangan ng ibang product. Ito lang sapat na. Ginamit ko once, tapos sold na ako agad.",1
Sobrang sulit to kasi parang lahat pwede mong gawin gamit ito. Hindi ko nga alam kung paano pero ang daming pwedeng paggamitan.,1
"Good quality! Ganda ng charger tsaka yung earphones malakas siya kaso mahina ata yung mismong mouthpiece ganon. Btw thank u seller""""",0
"bat Ganon Po sya ibang iba sa picture na packaging Yung item tas nong tinary kopo sya okay namn nong una pero nong tumagal Po nag loloko nasya ng s-stop mag charge at hingit sa lahat Yung nag delivery Po kanina dna binalik Yung sukli""""",0
Hindi siya yung inaasahan ko pero natuwa pa rin ako. Kasi may something siya na hindi mo maipaliwanag.,1
"I don't recommend this item guys as you can see hindi si'ya compatible sa android phones ko. I'm so dissapointed don't waist your money.""""",0
Madaming nagsasabi na okay daw �to kaya bumili na rin ako. Hindi ko pa sure pero baka nga maganda.,1
"di po sya gumagana. sayang lang pera""""",0
"Na-curious lang ako sa product kaya sinubukan. Hindi ko pa alam kung magagamit ko pero okay lang, cute naman.",1
Yung quality niya hindi halatang galing online. Parang binili sa mall. Yun lang masasabi ko.,1
"Maganda siya fast charger tlg""""",0
"thanx kaojcjwjxksosjcbcnjdjdjsnjsjsjjxnnfnnfnfkdjjsjjsnsnsnjsjjdjjfjfnnfjjfjfjj""""",1
"grabe sobrang maganda yung product at tsaka pagkabalot what you see is what you get talaga. madali syang iadjust at yung para sa back ng cellphone ay designed sya para hindi madaling mahulog. I've always wanted this masakit kasi yung neck ko kakatingin sa ibaba. Thank you!""""",0
"thank you lazada...thank you seller at kay kuyang rider..maganda nman hindi na lagi hawak ang tablet kapag nood ng mga anik anik na youtube.""""",0
"agus na ayus nagamit na matibay. hindi mangangalalay sa kamay kakapanood ng series hehe. thank you seller. will buy again...""""",0
"Thank you seller tama po ang color n delivery""""",0
"it's nice!""""",1
"ok naman yung product. pangit lang packaging as in walang bubble wrap nilagay lang yung 3 boxes sa plastic ng lazada. kaya ayun yupi yupi yung mga boxes buti di na damage mga holders.""""",0
"I ordered 1 black and 1 green I received 2 greens""""",0
"goods naman quality mukhang matibay kaso minsan nahuhulog phone pag nakatayo okay nadin 3 lang order ko dumating apat so thank you po""""",0
"Ok lng for the price kasi mura sya Adjustable din Useful nman for cellphone stand. Convenient to useFast delivery and well packed   Recommend for not picky person""""",0
"i'm quite dissapointed po coz i have ordered black pro dumating po mint green what's the purpose of giving options to your customer if you don't follow it. Hoping that this will be address so that this will not happen again.""""",0
"Wrong color. Oks lang yupi box pero wrong color. Fast ship tho""""",0
"i want refund. 5pcs order ko. tas 3pcs lang darating. nasan na yung 2pcs pa. nonsense pa yung return refund policy ng lazada. magkano lang gusto niyo irefund 14p.""""",0
"may order is black""""",1
"Bumili na lang ako kasi nakita ko sa ads. Wala na akong tanong. Basta trending, ibig sabihin okay.",1
Okay siya legit promise sulit,1
"may order is black""""",1
"I just received my order. I'm so disappointed. The box is already opened crumpled and the item is with scratches. I think this is a returned item.""""",0
"item was damaged""""",1
Parang hindi siya pang-local. Parang imported ang quality. Pero mura lang. Kaya nakaka-kaba.,1
"wow! I like that it's working really served it's purpose great quality correct order well-packed and with good deal price. thank you!""""",0
"oppo gamit q ok sha pwede sha sa oppo at Samsung Ganda den ng kulay ng order q ligth pink ligth blue and white super qt ya ty seller and kuya rider""""",0
"maganda po siya at maayos po noong pag deliver dito maayos po ang ganda po""""",1
"sobrang satisfied Po hahaha fast charger KC to ilang beses na naka try wortit po .. happy buyer""""",1
"okay naman siya ang gamda ang ganda hopefully magtagal tnx sa seller at sa delivery na taga sa amin din..""""",1
Hindi ko in-expect na ganito siya ka okay. Wala talaga akong idea pero natuwa ako sa resulta.,1
"binili ko to nung October 28 tas dumating sa akin ngayong October 29. Yung packaging? dapat po binububble wrap nyo po para secure lang sila sa isang lugar Gumagana ba? Oo pero mabilis uminit yung cord. Pag magchacharge ka ng 25 minutes iinit na agad yung core. Overall? 4 stars""""",0
"all charging cables work's just fine""""",0
Ang galing ng item. Hindi mo na kailangan mag-isip. Ito na ang sagot sa lahat ng problema mo.,1
"Same issue as others. 2 violet at 1 blue I received 3 blue. Nag communicate naman ako to avoid this problem maiintindihan nman kung hindi available para hindi nkaka disappoint pagdating ng items. Pls. do chat nman kung wala ung napili naming color/s alagaan nyo ang buyers kse paulit ulit kaming oorder kung excellent ang seller. We value the sellers asmuch as we hope you value us. Update: Without being told nagsend si seller ng 1 pc. vilolet cord very much appreciated. Thank you.""""",0
Maganda sya worth the price,1
Item received good condition happy,1
"pag dating ng package binayaran naman namen yung package and yung shipping fee pero bat walang laman wala yung item sa loob pa refund po""""",0
Tried it agad works okay naman,1
"maganda Sana yung charger Pero sa una lang sya..ang tagal mapuno CP ko tapos mabilis din masira Kaloka..""""",0
Solid to wala akong masabi,1
"at furst naimutan kong kasama pla ito sa order ko..hihihi..anyways okay naman yung cords however di ganun kaayos..kasi ngayong nakalipas ng ilang weeks ng paggamit namin ay di na nagchacharge ng maayos..cturer na itong concern...""""",0
"you cheated me i order and i paid complete your item but i very very dis appointed..i just recieved only 1 item.. my order is 3 items but you only send 1 item..howcome??? dahil lwng sa small amount at gusto mo kumita kaya nanloko ka ng tao..dont worry KARMA is just around the corner!!! babalik din sayo yan kung anong ginawa mong masama sa kapwa mo!! GOODLUCK!!! HGRXVJOUFFHITFBJRESFJKHCFUTECVKKFFFGCDERIIJVDSFHIJVFDGUJBDDGHBVFDESFJOONFDDVfyhfdtvnigcdechukhdxcchjnbffhiuessvhlkjcdds""""",1
"wrong item I ordered 4 pcs and the just gave me 2 pcs but still same price""""",0
Nice item gumagana no problem,1
"Nice.""""",1
"ganda nman ng face mask hold kaka delivery lang order salamat kay kuya rider thank you sila mo iyan or pag dito ni package ko deliver between lazada good bless you 🏾 🏾 🏾 five star name into salamat kay kuya may duha november 24 2021""""",1
"Nice and good quality. Complete pieces. Recommended shop. Its great. Thank you. God bless.""""",0
"maayos syang dumating walang sira. Thank you seller! ang ganda po nagustuhan nilang gamitin ..""""",0
Good quality hindi sya fake,1
Sulit for the price okay siya,1
